station,timeJ:,t090C:,t190C:,c0uS/cm:,c1uS/cm:,sal00:,sal11:,depSM:,density00:,fluroescence,sbeox0Mm/L:,sbeox0(%sat),v6:,upoly0:,latitude:,longitude:,prDM:,prDE:,flag:
C1,120.703966,10.5531,10.5525,3.74E+04,3.74E+04,33.7619,33.7478,63,1026.1773,7.08E-01,198.582,70.699,0,16.112879,36.78188,-121.93923,63.478,92.067,0
C1,120.704004,10.539,10.538,3.74E+04,3.74E+04,33.7621,33.7482,64,1026.1844,7.56E-01,200.131,71.229,0,16.101692,36.78188,-121.93923,64.485,93.528,0
C1,120.704013,10.4888,10.488,3.74E+04,3.73E+04,33.7643,33.7505,65,1026.1995,6.65E-01,199.942,71.086,0,16.200899,36.78188,-121.93923,65.493,94.99,0
C1,120.704046,10.4925,10.4952,3.74E+04,3.74E+04,33.7639,33.7492,66,1026.2031,7.39E-01,194.018,68.985,0,16.418851,36.78188,-121.93923,66.501,96.452,0
C1,120.704069,10.4561,10.4559,3.73E+04,3.73E+04,33.7655,33.7518,67,1026.2152,6.58E-01,193.361,68.698,0,16.209344,36.78188,-121.93923,67.509,97.913,0
C1,120.704093,10.4606,10.4597,3.73E+04,3.73E+04,33.765,33.7509,68,1026.2186,7.61E-01,192.477,68.39,0,16.387472,36.78188,-121.93923,68.517,99.375,0
C1,120.704131,10.4497,10.4491,3.73E+04,3.73E+04,33.7652,33.7512,69,1026.2252,7.96E-01,191.609,68.066,0,16.35551,36.78188,-121.93923,69.525,100.837,0
C1,120.704142,10.4449,10.4444,3.73E+04,3.73E+04,33.7651,33.7512,70,1026.2306,6.56E-01,191.7,68.091,0,16.032292,36.78188,-121.93923,70.532,102.298,0
C1,120.704153,10.4248,10.4242,3.73E+04,3.73E+04,33.7671,33.7534,71,1026.2402,7.92E-01,190.934,67.791,0,16.030587,36.78188,-121.93923,71.54,103.76,0
C1,120.704196,10.4229,10.421,3.73E+04,3.73E+04,33.7678,33.7535,72,1026.2456,7.14E-01,189.558,67.3,0,16.566873,36.78188,-121.93923,72.548,105.222,0
C1,120.704219,10.3582,10.3598,3.73E+04,3.72E+04,33.7749,33.7607,73,1026.267,8.10E-01,190,67.366,0,16.695888,36.78188,-121.93923,73.555,106.683,0
C1,120.704247,10.3065,10.3058,3.72E+04,3.72E+04,33.7812,33.7667,74,1026.2854,8.19E-01,186.084,65.906,0,16.595563,36.78188,-121.93923,74.563,108.145,0
C1,120.704267,10.2656,10.2696,3.72E+04,3.72E+04,33.7846,33.7694,75,1026.2997,7.11E-01,184.325,65.227,0,16.845491,36.78188,-121.93923,75.571,109.607,0
C1,120.704292,10.2438,10.2406,3.72E+04,3.71E+04,33.7857,33.7721,76,1026.3089,6.50E-01,181.319,64.133,0,17.676997,36.78188,-121.93923,76.579,111.068,0
C1,120.704313,10.1827,10.1882,3.71E+04,3.71E+04,33.7923,33.7767,77,1026.3291,6.26E-01,180.022,63.593,0,18.178182,36.78188,-121.93923,77.587,112.53,0
C1,120.704346,10.1052,10.1051,3.70E+04,3.70E+04,33.7951,33.7815,78,1026.3491,5.48E-01,175.81,62.002,0,18.225498,36.78188,-121.93923,78.595,113.992,0
C1,120.704372,10.0583,10.0657,3.70E+04,3.70E+04,33.7983,33.7838,79,1026.3642,5.60E-01,169.531,59.728,0,18.972596,36.78188,-121.93923,79.602,115.453,0
C1,120.704403,10.0137,10.0136,3.70E+04,3.70E+04,33.8021,33.7889,80,1026.3794,5.41E-01,165.966,58.417,0,19.215117,36.78188,-121.93923,80.61,116.915,0
C1,120.704414,9.9952,9.9945,3.70E+04,3.69E+04,33.8057,33.7921,81,1026.3899,5.83E-01,166.475,58.574,0,19.214418,36.78188,-121.93923,81.618,118.377,0
C1,120.704443,9.9951,9.9943,3.70E+04,3.69E+04,33.8052,33.7912,82,1026.3941,4.59E-01,164.601,57.914,0,20.12509,36.78188,-121.93923,82.626,119.839,0
C1,120.704469,9.9788,9.9786,3.69E+04,3.69E+04,33.8059,33.7919,83,1026.4019,4.02E-01,164.381,57.816,0,20.185046,36.78188,-121.93923,83.634,121.3,0
C1,120.70449,9.9792,9.9787,3.69E+04,3.69E+04,33.8067,33.7925,84,1026.407,4.17E-01,164.605,57.896,0,20.11488,36.78188,-121.93923,84.642,122.762,0
C1,120.704521,9.9766,9.9765,3.69E+04,3.69E+04,33.8072,33.7929,85,1026.4124,3.98E-01,164.799,57.961,0,20.595556,36.78188,-121.93923,85.649,124.224,0
C1,120.704544,9.9727,9.9729,3.69E+04,3.69E+04,33.8083,33.7941,86,1026.4186,4.11E-01,164.344,57.797,0,20.443245,36.78188,-121.93923,86.657,125.686,0
C1,120.70457,9.9691,9.9691,3.69E+04,3.69E+04,33.8092,33.7949,87,1026.4244,4.34E-01,164.077,57.699,0,20.548771,36.78188,-121.93923,87.665,127.147,0
C1,120.704588,9.962,9.9633,3.69E+04,3.69E+04,33.811,33.7964,88,1026.4316,4.34E-01,163.991,57.66,0,20.585654,36.78188,-121.93923,88.673,128.609,0
C1,120.704607,9.9499,9.9518,3.69E+04,3.69E+04,33.8123,33.7981,89,1026.4392,4.54E-01,163.758,57.563,0,20.720213,36.78188,-121.93923,89.681,130.071,0
C1,120.704646,9.9475,9.9495,3.69E+04,3.69E+04,33.813,33.7988,90,1026.4447,4.56E-01,163.054,57.313,0,21.062933,36.78188,-121.93923,90.689,131.533,0
C1,120.704667,9.9487,9.9477,3.69E+04,3.69E+04,33.8191,33.8042,91,1026.4539,4.27E-01,162.874,57.254,0,21.042274,36.78188,-121.93923,91.696,132.994,0
C1,120.704681,9.9503,9.9492,3.69E+04,3.69E+04,33.8222,33.808,92,1026.4606,4.29E-01,165.011,58.008,0,20.736181,36.78188,-121.93923,92.704,134.456,0
C1,120.704712,9.9522,9.9516,3.69E+04,3.69E+04,33.8229,33.8083,93,1026.4653,4.55E-01,170.115,59.805,0,20.769503,36.78188,-121.93923,93.712,135.918,0
C1,120.704753,9.9526,9.9522,3.69E+04,3.69E+04,33.8237,33.8097,94,1026.4705,4.54E-01,172.164,60.526,0,20.710112,36.78188,-121.93923,94.72,137.38,0
C1,120.704761,9.9533,9.9527,3.69E+04,3.69E+04,33.8245,33.8103,95,1026.4755,4.35E-01,171.769,60.388,0,20.696532,36.78188,-121.93923,95.728,138.842,0
C1,120.704784,9.954,9.9532,3.69E+04,3.69E+04,33.824,33.8098,96,1026.4796,4.62E-01,172.129,60.516,0,20.761025,36.78188,-121.93923,96.736,140.304,0
C1,120.704814,9.951,9.9506,3.69E+04,3.69E+04,33.8254,33.8113,97,1026.4858,4.93E-01,172.876,60.775,0,20.833872,36.78188,-121.93923,97.744,141.765,0
C1,120.704826,9.9493,9.9485,3.69E+04,3.69E+04,33.826,33.8119,98,1026.4911,5.23E-01,172.481,60.634,0,20.835713,36.78188,-121.93923,98.752,143.227,0
C1,120.704858,9.9494,9.9485,3.69E+04,3.69E+04,33.8258,33.8117,99,1026.4954,5.44E-01,173.137,60.865,0,20.736705,36.78188,-121.93923,99.759,144.689,0
C1,120.704894,9.9466,9.9452,3.69E+04,3.69E+04,33.8261,33.8119,100,1026.5007,4.86E-01,173.179,60.876,0,20.63504,36.78188,-121.93923,100.768,146.151,0
C1,120.704905,9.9418,9.9416,3.69E+04,3.69E+04,33.8259,33.8118,101,1026.5059,4.99E-01,172.791,60.733,0,20.644051,36.78188,-121.93923,101.776,147.613,0
C1,120.704926,9.9422,9.9415,3.69E+04,3.69E+04,33.8258,33.8116,102,1026.5104,4.55E-01,172.728,60.712,0,20.594306,36.78188,-121.93923,102.783,149.075,0
C1,120.704962,9.9398,9.94,3.69E+04,3.69E+04,33.8256,33.8114,103,1026.5152,4.98E-01,172.359,60.579,0,20.714502,36.78188,-121.93923,103.791,150.537,0
C1,120.704983,9.9363,9.9356,3.69E+04,3.69E+04,33.8253,33.8111,104,1026.5201,5.06E-01,172.193,60.515,0,20.7088,36.78188,-121.93923,104.799,151.999,0
C1,120.704999,9.9341,9.9342,3.69E+04,3.69E+04,33.8254,33.8112,105,1026.5251,4.46E-01,171.903,60.411,0,20.683745,36.78188,-121.93923,105.807,153.461,0
C1,120.705032,9.9118,9.9147,3.69E+04,3.69E+04,33.826,33.8114,106,1026.5339,4.17E-01,171.546,60.256,0,20.519822,36.78188,-121.93923,106.815,154.922,0
C1,120.705053,9.8744,9.8743,3.69E+04,3.69E+04,33.8254,33.8114,107,1026.5444,4.99E-01,170.878,59.973,0,20.720702,36.78188,-121.93923,107.823,156.384,0
C1,120.705082,9.8584,9.86,3.69E+04,3.68E+04,33.8253,33.8105,108,1026.5516,4.78E-01,165.064,57.912,0,20.87959,36.78188,-121.93923,108.831,157.846,0
C1,120.705102,9.8129,9.8138,3.68E+04,3.68E+04,33.8248,33.8101,109,1026.5634,4.27E-01,163.066,57.154,0,20.859701,36.78188,-121.93923,109.839,159.308,0
C1,120.70513,9.7803,9.7794,3.68E+04,3.68E+04,33.8211,33.8077,110,1026.5706,4.39E-01,160.007,56.041,0,21.32862,36.78188,-121.93923,110.847,160.77,0
C1,120.70515,9.7228,9.734,3.67E+04,3.67E+04,33.8207,33.8064,111,1026.5846,3.77E-01,154.662,54.1,0,21.628737,36.78188,-121.93923,111.855,162.232,0
C1,120.705167,9.7198,9.7193,3.67E+04,3.67E+04,33.8247,33.8108,112,1026.5928,3.32E-01,148.266,51.861,0,21.612234,36.78188,-121.93923,112.863,163.694,0
C1,120.705204,9.7308,9.7311,3.67E+04,3.67E+04,33.8257,33.8111,113,1026.5963,3.07E-01,146.713,51.33,0,22.527231,36.78188,-121.93923,113.871,165.156,0
C1,120.705233,9.7232,9.7224,3.67E+04,3.67E+04,33.828,33.8138,114,1026.6039,2.97E-01,149.557,52.318,0,22.254047,36.78188,-121.93923,114.879,166.618,0
